lhs,rhs,no,ori,rev,count,support,all_num,confidence,lhs_count,lift
*,.,295.patch,"tag != null && !""*"".equals(tag)",match != null && !CommonParams.ETAG_WILDCARD.equals(match),2,1.07,187,100.0,2,11
==,||,272.patch,configBean == null,"mId == null || mId.equals("""") || configBean == null",5,2.67,187,15.62,32,3.65234375
!=,&&,237.patch,field.checked != value,field.checked != value && !field.disabled,3,1.6,187,12.0,25,2.49333333333333
!,&&,237.patch,field.checked != value,field.checked != value && !field.disabled,5,2.67,187,10.87,46,2.25845410628019
==,.,272.patch,configBean == null,"mId == null || mId.equals("""") || configBean == null",7,3.74,187,21.88,32,2.40625
!=,.,237.patch,field.checked != value,field.checked != value && !field.disabled,6,3.21,187,24.0,25,2.64
!,.,237.patch,field.checked != value,field.checked != value && !field.disabled,7,3.74,187,15.22,46,1.67391304347826
==,==,272.patch,configBean == null,"mId == null || mId.equals("""") || configBean == null",5,2.67,187,15.62,32,1.826171875
!=,==,295.patch,target_type != null,suspend == null,6,3.21,187,24.0,25,2.805
!,==,295.patch,target_type != null,suspend == null,6,3.21,187,13.04,45,1.52445652173913
